ShipName, Damage, Hit, Pierced, Penetrated, Received
A DDC Null, 2.40088888888889, 1.54066666666667, 1.54066666666667, 1.54066666666667, 1
A DDC Null, 2.30722222222222, 1.52955555555556, 1.52955555555556, 1.52955555555556, 1
A DDC Null, 2.29, 1.54855555555556, 1.54855555555556, 1.54855555555556, 1
A DDC Null, 2.24577777777778, 1.53266666666667, 1.53266666666667, 1.53266666666667, 1
A DDC Null, 2.35288888888889, 1.557, 1.557, 1.557, 1
A DDC Null, 2.40422222222222, 1.55244444444444, 1.55244444444444, 1.55244444444444, 1
A DDC Null, 2.31211111111111, 1.52388888888889, 1.52388888888889, 1.52388888888889, 1
A DDC Null, 2.27622222222222, 1.53377777777778, 1.53377777777778, 1.53377777777778, 1
A DDC Null, 2.38833333333333, 1.56788888888889, 1.56788888888889, 1.56788888888889, 1
A DDC Null, 2.27133333333333, 1.48555555555556, 1.48555555555556, 1.48555555555556, 1
B DDC EVD, 2.484, 1.51211111111111, 1.51211111111111, 1.51211111111111, 1
B DDC EVD, 2.41422222222222, 1.55322222222222, 1.55322222222222, 1.55322222222222, 1
B DDC EVD, 2.47, 1.48177777777778, 1.48177777777778, 1.48177777777778, 1
B DDC EVD, 2.466, 1.51333333333333, 1.51333333333333, 1.51333333333333, 1
B DDC EVD, 2.39777777777778, 1.50211111111111, 1.50211111111111, 1.50211111111111, 1
B DDC EVD, 2.47066666666667, 1.543, 1.543, 1.543, 1
B DDC EVD, 2.49344444444444, 1.56077777777778, 1.56077777777778, 1.56077777777778, 1
B DDC EVD, 2.404, 1.50022222222222, 1.50022222222222, 1.50022222222222, 1
B DDC EVD, 2.50244444444444, 1.51855555555556, 1.51855555555556, 1.51855555555556, 1
B DDC EVD, 2.38833333333333, 1.52222222222222, 1.52222222222222, 1.52222222222222, 1
C DDC PROT, 2.474, 1.606, 1.606, 1.56246666666667, 1
C DDC PROT, 2.468, 1.64277777777778, 1.64277777777778, 1.59868444444444, 1
C DDC PROT, 2.44488888888889, 1.59077777777778, 1.59077777777778, 1.54884, 1
C DDC PROT, 2.34333333333333, 1.56244444444444, 1.56244444444444, 1.52071111111111, 1
C DDC PROT, 2.28066666666667, 1.51933333333333, 1.51933333333333, 1.47780444444444, 1
C DDC PROT, 2.283, 1.56322222222222, 1.56322222222222, 1.52086222222222, 1
C DDC PROT, 2.30066666666667, 1.51711111111111, 1.51711111111111, 1.47574222222222, 1
C DDC PROT, 2.44588888888889, 1.581, 1.581, 1.53825777777778, 1
C DDC PROT, 2.302, 1.52566666666667, 1.52566666666667, 1.48324, 1
C DDC PROT, 2.27833333333333, 1.53688888888889, 1.53688888888889, 1.49497777777778, 1
D DDC Shield, 2.27257142857143, 1.42390476190476, 1.28104761904762, 1.28104761904762, 0.857142857142857
